index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2021/11/28 20:24:10.508, 16.26 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:11.510, 16.22 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:12.514, 16.25 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:13.516, 16.27 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:14.519, 16.21 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:15.522, 16.17 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:16.525, 16.18 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:17.529, 16.24 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:18.532, 16.17 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:19.535, 16.26 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:20.538, 16.21 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:21.541, 16.24 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:22.544, 16.27 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:23.547, 16.24 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:24.550, 16.20 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:25.553, 16.21 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:26.556, 16.30 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:24:27.559, 16.49 W, 300 MHz, 405 MHz, 300 MHz
